, Subscribers,Avg. likes,Avg Views,Avg Commentss,ViewsCategory
429,15200000.0,0.0,150600.0,0.0,1
430,15200000.0,0.0,284800.0,15.0,1
431,15200000.0,956.0,63800.0,6.0,1
432,15200000.0,175.0,16100.0,9.0,0
433,15200000.0,2000.0,29900.0,61.0,0
434,15200000.0,135.0,7100.0,2.0,0
435,15200000.0,644.0,22200.0,81.0,0
436,15200000.0,53.0,4100.0,0.0,0
437,15100000.0,344.0,35800.0,16.0,0
438,15100000.0,1300.0,30600.0,23.0,0
439,15100000.0,666.0,54800.0,0.0,1
440,15000000.0,901.0,82300.0,216.0,1
441,15000000.0,3700.0,71800.0,152.0,1
442,15000000.0,7000.0,154700.0,285.0,1
443,15000000.0,2300.0,220600.0,0.0,1
444,15000000.0,15600.0,279500.0,604.0,1
445,15000000.0,27400.0,786300.0,881.0,1
446,15000000.0,43.0,5300.0,2.0,0
447,15000000.0,1200000.0,2246412.5,31600.0,1
448,15000000.0,361200.0,2246412.5,2000.0,1
449,15000000.0,167.0,37200.0,0.0,0
450,15000000.0,1100.0,95500.0,35.0,1
451,15000000.0,31500.0,1000000.0,1100.0,1
452,15000000.0,9100.0,1300000.0,0.0,1
453,15000000.0,33500.0,515800.0,1100.0,1
454,15000000.0,544.0,24900.0,14.0,0
455,15000000.0,3000.0,100200.0,284.0,1
456,14900000.0,865.0,90800.0,19.0,1
457,14900000.0,305.0,12700.0,33.0,0
458,14900000.0,0.0,167300.0,311.0,1
459,14900000.0,1900.0,20400.0,33.0,0
460,14900000.0,906.0,212000.0,0.0,1
461,14900000.0,66600.0,1500000.0,3000.0,1
462,14900000.0,19900.0,420100.0,612.0,1
463,14800000.0,5500.0,735100.0,0.0,1
464,14800000.0,459400.0,2246412.5,2900.0,1
465,14800000.0,3200.0,29500.0,39.0,0
466,14800000.0,5200.0,134500.0,291.0,1
467,14800000.0,0.0,7400.0,0.0,0
468,14700000.0,299.0,12600.0,35.0,0
469,14700000.0,17900.0,432200.0,57.0,1
470,14700000.0,46.0,2700.0,2.0,0
471,14700000.0,61600.0,565900.0,500.0,1
