No,Hari/Tanggal,Beli Langsung Siang,Beli Langsung Malam,Total Beli Langsung,Total Beli Antar,Total Keseluruhan,Merek AQUA, Merek DC,Total Penjualan, Total Pengeluaran,Hasil Pendapatan
99,03/05/2024,30,30,60,320,380,195,185,Rp2.220.000,Rp80.000,Rp2.140.000
100,04/05/2024,30,12,42,325,367,200,167,Rp2.250.000,Rp535.000,Rp1.715.000
101,05/05/2024,32,30,62,143,205,122,83,Rp1.214.000,Rp1.066.000,Rp148.000
102,06/05/2024,20,28,48,396,444,245,199,Rp2.586.000,Rp309.000,Rp2.277.000
103,07/05/2024,40,18,58,321,379,263,166,Rp2.156.000,Rp75.000,Rp2.081.000
104,08/05/2024,31,35,66,269,335,110,225,Rp2.006.000,Rp207.000,Rp1.799.000
105,09/05/2024,30,27,57,318,375,125,250,Rp2.210.000,Rp612.000,Rp1.598.000
106,10/05/2024,29,40,69,189,258,158,100,Rp1.455.000,Rp390.000,Rp1.065.000
107,11/05/2024,33,22,55,314,369,119,250,Rp2.089.000,Rp261.000,Rp1.828.000
108,12/05/2024,30,19,49,287,336,120,219,Rp1.928.000,Rp520.000,Rp1.408.000
109,13/05/2024,36,30,66,283,349,196,153,Rp1.977.000,Rp310.000,Rp1.667.000
110,14/05/2024,30,26,56,266,322,150,172,Rp2.146.000,Rp290.000,Rp1.856.000
111,15/05/2024,31,23,54,322,376,226,150,Rp2.159.000,Rp755.000,Rp1.404.000
112,16/05/2024,30,30,60,246,306,150,156,Rp1.932.000,Rp1.074.000,Rp858.000
113,17/05/2024,33,30,63,196,259,120,139,Rp1.499.000,Rp60.000,Rp1.439.000
114,18/05/2024,40,28,68,325,393,200,183,Rp2.201.000,Rp913.000,Rp1.288.000
115,19/05/2024,38,17,55,327,382,152,230,Rp2.173.000,Rp100.000,Rp2.073.000
116,20/05/2024,31,36,67,306,373,250,123,Rp2.278.000,Rp472.000,Rp1.806.000
117,21/05/2024,42,31,73,213,286,166,120,Rp1.912.000,Rp224.000,Rp1.688.000
118,22/05/2024,20,24,44,230,274,120,154,Rp1.539.000,Rp40.000,Rp1.499.000
119,23/05/2024,31,30,61,289,350,225,125,Rp1.901.000,Rp875.000,Rp1.026.000
120,24/05/2024,30,30,60,212,272,150,122,Rp1.561.000,Rp245.000,Rp1.316.000
121,25/05/2024,30,12,42,277,319,114,205,Rp2.097.000,Rp370.000,Rp1.727.000
122,26/05/2024,30,22,52,234,286,166,120,Rp1.584.000,Rp100.000,Rp1.484.000
123,27/05/2024,26,24,50,285,335,129,206,Rp1.829.000,Rp460.000,Rp1.369.000
